X Position,Y Position,Mask Area,Normalized Mask Area
0.49999999992006394,8.940696715832138e-06,17382904.0,0.0
0.499343225687831,0.02561919123766145,17432291.0,0.010882995295060795
0.49738883430046116,0.05103280820441274,17456215.0,0.016154924738821994
0.49415091553892043,0.07625531241852421,17505258.0,0.026962115664686426
0.48966610402152577,0.10112915787437518,17529899.0,0.03239204433145284
0.48392221445847117,0.12577476039972987,17578584.0,0.04312034582658384
0.4769466575065083,0.15007293524606466,17627491.0,0.0538975675832311
0.4687457506629247,0.17400408396198994,17652547.0,0.059418946288417554
0.45934129035244975,0.19749830120116585,17676793.0,0.06476183214753117
0.44874707679454573,0.2205131766320328,17725716.0,0.07554257968879222
0.4369771297325622,0.24300409068715592,17774066.0,0.0861970600685721
0.42414234256618344,0.26477022725841043,17797975.0,0.09146568408925788
0.41024730262952114,0.28582713427035245,17846090.0,0.10206837950752282
0.39529709945990205,0.30617021925489146,17870264.0,0.1073953993358744
0.3792547740897324,0.32583096281683555,17917856.0,0.11788284566957624
0.3623862654815069,0.3444941140141103,17941862.0,0.12317284475948309
0.34443123726693886,0.36244602742307114,17989109.0,0.13358426636245022
0.3255516367115318,0.3794945741831401,18012712.0,0.13878545975239737
0.30576251888437295,0.39561254030362014,18060173.0,0.14924403872457387
0.28534153138078394,0.4105852048835529,18083769.0,0.15444368958375249
0.264118712678441,0.4245483548585286,18130342.0,0.16470658750986394
0.2424125038878279,0.4373055887578317,18153468.0,0.16980266844601263
0.21994684598647402,0.4490249268588575,18200501.0,0.18016693267977038
0.1969935693950029,0.45955797633923856,18223946.0,0.18533330894665642
0.1735990445723192,0.4688959071303331,18270417.0,0.195573729995855
0.1496313596537104,0.47708537622545294,18293457.0,0.2006508598397046
0.1253707639338979,0.48402703597075114,18339981.0,0.21090296005043635
0.10061516718705538,0.4897719756498129,18363197.0,0.2160188735250376
0.07552375460871996,0.4942632522146491,18409184.0,0.2261526395896692
0.05044633970343696,0.4974486574617781,18432451.0,0.23127979150272687
0.02509925246612713,0.4993696301595058,18478438.0,0.24141355756735847
-0.00021471777957643112,0.499999953896273,18501512.0,0.24649817970351237
-0.025475991612229316,0.4993505520687582,18546818.0,0.25648187956051977
-0.05066768766008255,0.49742616077884394,18570052.0,0.2616017595428115
-0.07578197831825823,0.4942237264257667,18615890.0,0.27170269173822725
-0.10066641342224888,0.48976144520439835,18638635.0,0.2767148149282602
-0.1251997163859074,0.48407130778108337,18684421.0,0.28680428832368116
-0.14956986352351687,0.47710465929977725,18730505.0,0.2969594294575338
-0.17340013342686206,0.4689695019162189,18753457.0,0.3020171674860076
-0.19689444671012937,0.45960045349706957,18799474.0,0.31215754439679005
-0.21980009988184904,0.4490967780912364,18822594.0,0.31725230316370856
-0.2422871573764589,0.43737504886588474,18868588.0,0.3273876117591087
-0.2640775519247454,0.4245739588922446,18891349.0,0.3324032607337554
-0.28517375804900114,0.4107017503252327,18936787.0,0.34241604831382655
-0.3055880763690848,0.3957473026832178,18959755.0,0.34747731212691413
-0.3255754198698861,0.37947417036808634,19005545.0,0.3575676669684885
-0.34436044622110196,0.3625132867611938,19028312.0,0.3625846381123654
-0.36226639939493593,0.34462016172799403,19074254.0,0.3727084879077708
-0.37925355962566365,0.3258323764012152,19097009.0,0.37772281471318736
-0.3954203855318563,0.306010978080588,19143046.0,0.38786759885473704
-0.41033167510102525,0.2857059964522738,19166133.0,0.3929550856908896
-0.4243317932353141,0.26446649929566246,19211846.0,0.40302847269401015
-0.43713314224708605,0.24272333210713148,19234760.0,0.4080778369840262
-0.448981770194925,0.22003492911951858,19280987.0,0.41826448981786457
-0.4595847753279818,0.19693103941920503,19304339.0,0.423410372461683
-0.46894990497041644,0.17345312516134553,19351007.0,0.43369420473393877
-0.47711109731363865,0.14954932570953175,19374322.0,0.4388319340008378
-0.4840561718194833,0.12525822337661857,19421245.0,0.4491719584653758
-0.4897712963637119,0.10061847374219632,19467732.0,0.4594159052991882
-0.49420837761687036,0.07588201034040179,19491310.0,0.4646115896506763
-0.49741114818525806,0.050814856695884,19514524.0,0.4697270624022008
-0.4993428186224101,0.02562712411151282,19561657.0,0.4801133627897947
-0.4999998172943728,0.00042744074887520535,19585438.0,0.4853537805335702
-0.499377706351301,-0.024938051233281546,19632766.0,0.4957830514211446
-0.49747648420341267,-0.050171183607841174,19656669.0,0.5010503532726003
-0.4942718551002647,-0.07546743175531345,19704905.0,0.5116797124370069
-0.48983299487929644,-0.10031768103170621,19752295.0,0.5221226457399597
-0.48416474665465153,-0.1248378872651933,19776358.0,0.5274252054375532
-0.4772493342163547,-0.14910758864003604,19800478.0,0.5327403257428333
-0.4690447955260931,-0.17319636194183047,19848416.0,0.5433040171688082
-0.45940345259244836,-0.1973536615980004,19897064.0,0.5540241652870198
-0.44882730895713857,-0.22034982807865602,19921564.0,0.5594230229768773
-0.43709301903427566,-0.2427955780311955,19970158.0,0.5701312715720174
-0.4242965277163646,-0.2645230737909951,19994413.0,0.5754761406849762
-0.4102293202273556,-0.28585294265723715,20043965.0,0.5863954956338666
-0.39531988305798205,-0.3061408010360974,20068843.0,0.5918776499852247
-0.3792872933765777,-0.32579310778939125,20118036.0,0.6027178951418434
-0.36238175904192244,-0.34449885444465855,20142997.0,0.6082183395008856
-0.34429719733822783,-0.362573357963656,20192835.0,0.6192007178497474
-0.32557082981207003,-0.3794781084271926,20217720.0,0.624684414731874
-0.30590899159596713,-0.39549929059448197,20267923.0,0.6357472250422378
-0.2854653148078283,-0.4104991523032265,20292901.0,0.641251415547432
-0.26443830471335505,-0.424349364321813,20343299.0,0.6523571963577763
-0.24263571065747772,-0.43718178360236004,20368346.0,0.6578765918091175
-0.2201930557096386,-0.4489042417011138,20418953.0,0.6690284281809794
-0.19715786736391352,-0.45948751379826797,20444280.0,0.6746095248630618
-0.1736419315563543,-0.4688800268782819,20495131.0,0.6858151294502839
-0.14978515165639367,-0.47703711421992223,20545957.0,0.6970152249990469
-0.12558662448537988,-0.4839710732578634,20571375.0,0.7026163745811203
-0.10092950883611967,-0.48970729445874056,20622074.0,0.7137884842145114
-0.07607280626749481,-0.49417904462511175,20647472.0,0.7193852265658175
-0.0502526169584399,-0.4974682648057344,20699055.0,0.7307521357991202
-0.02513427162291442,-0.49936786880013173,20724440.0,0.7363460134504276
0.000250345460036958,-0.4999999373271467,20775781.0,0.7476595951914468
0.025380076911504866,-0.499355436233517,20801510.0,0.7533292772119505
0.050630195483002786,-0.4974299782937825,20852443.0,0.7645529514453183
0.07559613600455194,-0.49425218686535044,20878323.0,0.7702559080581146
0.10045357826126715,-0.4898051435157735,20929661.0,0.7815688287145187
0.12499044808864287,-0.48412538446832165,20955330.0,0.7872252890427208
0.14966004992278772,-0.4770763769640126,21006526.0,0.7985069183606777
0.17352863880092395,-0.46892196740598374,21032159.0,0.8041554456734987
0.1975367459266739,-0.4593247587586594,21083381.0,0.8154428043914529
0.22057833634925098,-0.448715051601121,21108873.0,0.8210602607273649
0.24343055924200807,-0.43673969687575137,21160320.0,0.8323972007914505
0.26529334432027,-0.4238153388674915,21186151.0,0.8380893596888671
0.28648703899467287,-0.4097867451346673,21237692.0,0.8494470137375587
0.30704944112311217,-0.3946145470024952,21262960.0,0.8550151090888778
0.3279262680072603,-0.3774445161223441,21314262.0,0.8663200967299008
0.3468888724477166,-0.3600945850355873,21365269.0,0.8775600777171073
0.36469771538999557,-0.3420461611965815,21390928.0,0.8832143344299258
0.381613995193849,-0.3230646354403234,21416718.0,0.8888974585042696
0.39752548065820387,-0.3032713178450346,21467434.0,0.9000733142838129
0.4123075038518176,-0.28284717122057884,21517905.0,0.9111951814864576
0.42601781878190814,-0.261741892100415,21543735.0,0.9168871200223359
0.43872909817433337,-0.23982655902784447,21594480.0,0.9280693662864916
0.4502328858389452,-0.21746344177616458,21619892.0,0.9336691936993348
0.46068506933104897,-0.19434316786408165,21670498.0,0.9448208097096582
0.4698762308878068,-0.1709278433920831,21695481.0,0.9503261020225443
0.4779127590720524,-0.14696732533504997,21746059.0,0.9614715479097937
0.48469782083671414,-0.12275187361560136,21771134.0,0.966997113484209
0.49028867132017445,-0.0980663998273513,21821395.0,0.9780727047637978
0.494611834026468,-0.07320610385052377,21846159.0,0.9835297378997827
0.49768370915105836,-0.048072088010036866,21896057.0,0.9945253379409462
0.49947446579800286,-0.022918508149520844,21920901.0,1.0
